year,World,      North America,      Europe,      Asia Oceania
1971,2048,1266,167,13
1972,2158,1288,220,15
1973,2238,1283,261,21
1974,2290,1245,306,26
1975,2254,1151,323,29
1976,2376,1175,356,35
1977,2436,1158,371,43
1978,2515,1158,382,54
1979,2661,1197,409,62
1980,2713,1184,402,70
1981,2748,1157,396,74
1982,2754,1082,386,78
1983,2782,1019,400,82
1984,2987,1088,417,103
1985,3074,1060,433,111
1986,3116,999,441,114
1987,3293,1050,469,118
1988,3433,1108,464,123
1989,3607,1157,478,131
1990,3676,1116,493,151
1991,3799,1135,537,158
1992,3782,1169,539,161
1993,3850,1211,570,165
1994,3875,1241,582,172
1995,3986,1290,622,179
1996,4154,1320,690,186
1997,4219,1358,690,192
1998,4277,1333,719,196
1999,4423,1346,757,208
2000,4569,1399,772,216
2001,4630,1340,796,218
2002,4790,1387,802,226
2003,4969,1365,836,226
2004,5105,1365,860,225
2005,5224,1350,878,224
2006,5369,1333,870,242
2007,5583,1421,862,266
2008,5741,1425,896,263
2009,5581,1393,847,263
2010,6056,1461,912,276
2011,6144,1495,817,310
2012,6259,1555,796,323
2013,6345,1591,780,323
2014,6338,1629,695,326
2015,6438,1674,726,314
2016,6623,1686,783,320
2017,6772,1656,801,318
2018,7072,1839,791,309
2019,7248,1898,808,302
2020,7168,1875,778,303
2021,7524,1884,819,288
