Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,460,520,550,650,680,650,610,570,540,520,530,500,390,..
Albania,ALB,650,410,280,320,380,640,890,800,860,950,1100,1280,1370,1650,2100,2620,3050,3460,4040,4280,4360,4410,4360,4540,4540,4390,4320,4290,4860,5230,5270,6100,6770
Algeria,DZA,2390,2000,1920,1750,1640,1570,1530,1520,1560,1550,1610,1680,1740,1940,2260,2730,3130,3620,4230,4300,4490,4610,5220,5540,5510,4880,4400,3970,4010,4050,3610,3680,3900
American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46530,..,..,..
Angola,AGO,780,960,430,470,210,370,320,450,410,330,360,390,590,710,1010,1370,1810,2460,3030,3170,3210,3360,4060,4650,4800,3880,2450,1980,1870,2040,1690,1650,1900
Antigua and Barbuda,ATG,6730,7200,7440,7950,8470,8170,8750,9140,9360,9720,10220,9980,9800,10700,11650,12670,14120,15460,15650,13960,13030,12730,13180,13040,13230,13370,14170,15030,16650,17480,15010,16060,18280
Argentina,ARG,3190,3860,6060,7110,7600,7340,7700,8110,7990,7540,7430,6960,4020,3640,3360,4240,5460,6480,7630,7760,9270,10710,11890,12870,12350,12600,12220,13140,12430,11220,9010,9960,11620
Armenia,ARM,..,..,300,350,390,450,500,530,560,590,640,690,780,940,1160,1500,1970,2690,3510,3250,3390,3470,3840,4110,4170,4080,3850,4070,4410,4880,4470,4850,5960
Aruba,ABW,11570,12560,13610,14640,16060,16930,17150,17980,18230,18320,20390,20510,19290,21120,24010,20370,24870,23390,27580,24930,23390,23400,24440,25500,25790,26180,26650,27720,29310,30330,24840,29460,..
Australia,AUS,17340,18240,18570,18950,18930,19370,20590,22060,21920,21590,21280,20310,20200,21370,25830,30720,34580,37370,42380,44080,46740,50400,60270,66050,65190,60480,54080,51490,53100,54900,53620,57170,60430
Austria,AUT,20630,21810,24520,24870,26140,28190,30090,29560,27970,27080,26810,25320,25030,28100,33850,38770,41500,44540,49210,49150,49750,50700,50100,50720,50390,47480,46240,45040,48980,51020,48990,52760,56140
Azerbaijan,AZE,..,..,..,110,80,180,240,410,510,600,630,680,740,840,960,1290,1920,2730,3890,4820,5410,5570,6480,7450,7740,6610,4790,4110,4080,4510,4480,4910,5630
"Bahamas, The",BHS,11230,10710,10900,10640,10880,13340,14840,14070,15490,22170,24170,24390,25040,25680,27200,28560,28870,29330,29270,27530,26900,26540,27200,26280,26840,27270,27340,28630,29440,30350,23270,27300,31530
Bahrain,BHR,8690,9330,9330,9380,8970,9550,9870,9400,9190,9080,10220,10980,11850,12950,14510,16310,17660,19570,20940,18920,19390,19150,23360,24790,24530,22740,21820,21790,23210,24420,22960,24730,27180
Bangladesh,BGD,300,310,320,320,320,330,360,390,410,420,430,430,430,460,500,540,570,600,660,720,800,890,970,1030,1100,1210,1410,1650,2020,2210,2300,2570,2820
Barbados,BRB,7660,7640,7540,7770,8100,8460,8840,9220,9630,10050,11060,10910,10930,11590,12600,13580,14610,15940,16600,16160,15960,15450,16150,16080,16050,16170,16350,16490,17020,17630,16230,16900,19350
Belarus,BLR,..,..,1790,1600,1460,1370,1450,1540,1560,1410,1380,1300,1380,1630,2170,2820,3510,4310,5470,5660,6150,6340,6630,7030,7620,6750,5640,5320,5730,6370,6400,7040,7240
Belgium,BEL,19310,20580,23170,23410,25090,27070,28550,28450,26530,25980,25890,24460,24060,27100,32910,37780,39940,42740,46570,46980,47080,46490,47130,47900,47820,45570,43400,42520,46060,48110,46040,50530,48700
