year,World,   North America,      Europe,      Asia Oceania
1971,6765,2237,1640,620
1972,7259,2413,1751,654
1973,7823,2530,1862,760
1974,7705,2435,1740,754
1975,7689,2344,1679,722
1976,8169,2509,1782,748
1977,8482,2652,1742,782
1978,8749,2658,1812,786
1979,8849,2575,1846,789
1980,8508,2367,1713,723
1981,8181,2231,1567,680
1982,7957,2136,1479,642
1983,7863,2080,1424,642
1984,7935,2124,1426,661
1985,7896,2132,1390,623
1986,8107,2193,1427,631
1987,8247,2229,1416,637
1988,8503,2322,1429,681
1989,8608,2334,1428,705
1990,8697,2193,1444,750
1991,8756,2129,1500,751
1992,8786,2169,1519,763
1993,8844,2201,1511,750
1994,8968,2248,1504,790
1995,9184,2205,1520,790
1996,9470,2270,1557,790
1997,9578,2415,1538,772
1998,9738,2513,1564,759
1999,9823,2540,1554,772
2000,9872,2554,1523,760
2001,9838,2585,1550,739
2002,9978,2484,1532,752
2003,10360,2554,1544,746
2004,10496,2605,1538,740
2005,10567,2628,1522,741
2006,10723,2566,1506,706
2007,10625,2555,1443,710
2008,10338,2413,1428,666
2009,10723,2299,1352,622
2010,10745,2370,1333,631
2011,10841,2238,1276,670
2012,11008,2179,1235,681
2013,11065,2238,1213,666
2014,11324,2221,1186,622
2015,11394,2297,1211,599
2016,11535,2303,1212,583
2017,11629,2297,1203,573
2018,11612,2350,1181,559
2019,10308,2310,1173,543
2020,10920,2000,1034,508
2021,,2170,1096,509
